EmployeeID,Employee Name ,OfficeState,DeviceType,EligibleForPromotion,RepeatHire,Organization,Department,BaseSalaryUSD,VacationHoursBalance,EmployeeRating,CurrentPeriodHours,PriorPeriodHours,PerformanceRating,NumberOfPreviousJobs,DaysSinceVacation,StartMonth,StartWeek,EmployeeTenure,Still Employed
aa57561,Norby Hovenden,NJ,-,yes,no,IT,Software Development,124450,8,2,220,89.7,15.6,4,118,Apr,W15,108,Yes
ab45280,Webb Easton,OH,-,yes,no,IT,Software Development,135750,14,3,244.1,168.8,9.6,9,128,Jun,W25,105,Yes
ab77185,Mair Hansbury,MS,-,no,no,IT,Software Development,123100,10,1,218.7,112.5,13.8,3,81,Jan,W04,110,Yes
ab91714,Meridith McKeag,AL,-,yes,no,IT,Software Development,108900,12,1,191,143.4,11.6,3,142,Apr,W16,107,Yes
ac30783,Bobette Stichall,NV,Galaxy,no,yes,IT,Software Development,127500,24,0,190.6,285.9,9.4,15,88,Mar,W11,72,Yes
ac64485,Chantalle Bellard,ID,-,yes,no,IT,Software Development,146450,23,1,228.2,266.2,11.8,5,106,Apr,W16,119,Yes
ac85629,Wallas Ravilious,MD,-,no,no,IT,Software Development,181800,13,3,260.1,151.9,12.2,5,85,Jan,W02,99,Yes
ac93892,Lizzy Knapper,NV,Galaxy,yes,no,IT,Software Development,98600,13,1,246.8,150.1,12,2,135,Nov,W47,88,Yes
ad26775,Lilli Santry,SD,-,no,no,IT,Software Development,208700,16,1,141.7,192.7,9.1,4,69,Feb,W08,134,Yes
ad65026,Niccolo Flello,ND,-,no,yes,IT,Software Development,186250,21,2,168.9,242.9,10.1,4,105,Aug,W32,104,Yes
ae75563,Ardene Olivella,IA,Galaxy,no,no,IT,Software Development,130500,24,2,230.2,287.3,6.5,5,130,Mar,W13,84,Yes
af33420,Lacie Mabley,KS,-,yes,no,IT,Software Development,183600,19,0,267.9,224.1,11.8,4,84,Apr,W15,144,Yes
af88081,Keven Grindley,AL,-,yes,no,IT,Software Development,80750,25,2,159.6,291.2,10,2,88,Feb,W06,98,Yes
af99976,Minnaminnie Hunstone,OR,-,no,no,IT,Software Development,121450,15,0,113.3,177.9,6.6,4,111,Dec,W50,99,Yes
ag60615,Raynell Clutten,PA,-,no,yes,IT,Software Development,217450,12,0,181.2,142.7,11.7,3,126,Jul,W31,128,Yes
ah26712,Jewelle Pinyon,MN,iPhone,no,no,IT,Software Development,133550,19,1,181.4,223.3,6.1,2,87,Jun,W26,93,Yes
ai12876,Fields Innocenti,SD,-,no,no,IT,Software Development,125400,16,2,135,191.7,16.4,3,112,Oct,W42,113,Yes
ai30350,Dione Boxhall,KY,-,no,no,IT,Software Development,122500,21,1,211.4,249.8,13.6,3,83,May,W22,118,Yes
ai91463,Ilise Lawty,WA,iPhone,no,no,IT,Software Development,178850,15,1,149.7,176.6,15.5,4,111,Apr,W17,83,Yes
aj33600,Levi Conrath,OH,-,yes,yes,IT,Software Development,199750,16,2,139.8,183.3,5.7,7,94,Jul,W29,104,Yes
ak51713,Lark Reignolds,AL,-,no,no,IT,Software Development,151300,13,1,236.6,153.8,11.7,4,79,Oct,W43,113,Yes
ak61077,Liam Klicher,WI,-,no,yes,IT,Software Development,52950,23,1,138.7,275,10.8,3,97,Apr,W16,95,Yes
ak69296,Edlin Dahlman,MO,-,no,no,IT,Software Development,200200,12,0,316.7,142.3,12.5,5,158,Dec,W50,112,Yes
ak69946,Oralee De Witt,GA,-,no,no,IT,Software Development,105500,16,3,162.9,192.8,6.4,5,123,Mar,W10,121,Yes
al42178,Lexie Pesticcio,MI,-,no,no,IT,Software Development,179600,14,3,134.7,162.6,13.2,5,137,Dec,W52,123,Yes
al55549,Agnola Imlock,NV,-,no,no,IT,Software Development,61900,23,2,222.5,267.1,11.8,2,135,Dec,W51,124,Yes
al82995,Darcy Divine,HI,-,no,no,IT,Software Development,215200,17,2,195.3,201,9.7,7,93,Oct,W42,126,Yes
am73974,Billye Badland,NE,iPhone,yes,no,IT,Software Development,165400,10,2,175.5,119.9,13.1,2,118,Dec,W49,87,Yes
an21653,Hollie Ginnelly,DC,iPhone,no,yes,IT,Software Development,90200,11,0,96.4,123.5,12.9,3,115,Jul,W31,80,Yes
an47881,Ole Buffey,WA,-,no,no,IT,Software Development,157350,14,3,111.6,165.1,6.3,4,103,Aug,W34,103,Yes
ao35966,Audie Zellner,MI,-,yes,no,IT,Software Development,152500,23,0,246.1,275.4,10,5,115,Jul,W27,117,Yes
aq48128,Trumaine Leagas,MN,-,no,no,IT,Software Development,192700,14,0,188.7,168.4,10.2,1,144,Feb,W07,97,Yes
aq49948,Karyn Axelbee,IA,-,no,no,IT,Software Development,127850,20,1,186.3,230.5,12.3,4,114,Jan,W01,123,Yes
aq75265,Jonell Dougan,MO,-,no,no,IT,Software Development,146300,18,1,182.2,211.7,11.6,6,114,Mar,W10,109,Yes
ar19646,Margaret Ciccetti,HI,-,no,no,IT,Software Development,193300,23,1,143.3,268.5,13,4,104,Nov,W46,125,Yes
ar20345,Rosalind Blumson,IA,-,yes,no,IT,Software Development,74900,15,2,269.9,175.9,9.7,1,157,Jul,W27,129,Yes
ar39561,Katheryn Joret,NV,iPhone,no,no,IT,Software Development,154800,18,1,207.4,211.5,6.8,1,119,Jul,W29,92,Yes
ar92990,Anne Turtle,NY,Galaxy,no,no,IT,Software Development,121700,14,1,215.8,169.8,7.6,4,129,Jul,W30,80,Yes
at71976,Ramona Boyfield,DC,iPhone,yes,no,IT,Software Development,157600,15,4,218.3,178.5,8,3,143,Sep,W36,91,Yes
at72038,Nealon Devorill,WY,-,no,no,IT,Software Development,196500,16,1,206.9,188.7,12.3,1,89,Sep,W36,139,Yes
